num,Accuracy,Precision,ReCall,F-Score
3673,0.83390335876523725,0.13468354430379748,0.58980044345898008,0.21929101401483928
3723,0.85135490660352542,0.14457142857142857,0.56097560975609762,0.22989550204452522
3773,0.83495571340875208,0.13476263399693722,0.58536585365853655,0.21908713692946058
3823,0.85512584407612036,0.14780058651026393,0.55875831485587579,0.23376623376623373
3873,0.85135490660352542,0.14416475972540047,0.55875831485587579,0.22919508867667121
3923,0.85293343856879766,0.14770114942528736,0.56984478935698446,0.23459607485166595
3973,0.84819784267298082,0.14285714285714285,0.56762749445676275,0.22826571555951852
4023,0.85302113478909058,0.1453387376954256,0.55654101995565408,0.23048668503213957
4073,0.85495045163553451,0.14471352628470172,0.5432372505543237,0.22854477611940302
4123,0.85837060422695777,0.14939759036144579,0.54988913525498895,0.23495973472288015
4173,0.85889678154871529,0.15036231884057971,0.55210643015521066,0.23635500711912671
4223,0.85468736297465575,0.14361702127659576,0.53880266075388028,0.22678488100793284
4273,0.85801981934578619,0.14861612515042119,0.54767184035476724,0.23379081874112637
4323,0.85810751556607912,0.14828209764918626,0.54545454545454541,0.23317535545023696
4373,0.86196614925896697,0.14971927635683094,0.53215077605321504,0.23369036027263879
4423,0.85933526265017979,0.14954407294832828,0.54545454545454541,0.23473282442748092
4473,0.85977374375164428,0.1482843137254902,0.53658536585365857,0.23235717714834372
4523,0.86222923791984563,0.15174129353233831,0.54101995565410199,0.23700825643516268
4573,0.86222923791984563,0.14999999999999999,0.53215077605321504,0.23403217942467089
4623,0.86231693414013855,0.15053091817613992,0.53436807095343686,0.23489278752436646
4673,0.85994913619223012,0.14846625766871166,0.53658536585365857,0.23258049014896687
4723,0.86486012452863281,0.15197956577266922,0.52771618625277161,0.23599405057015366
4773,0.86547399807068315,0.15310698270339526,0.52993348115299332,0.2375745526838966
4823,0.85994913619223012,0.14803439803439802,0.53436807095343686,0.23184223184223185
4873,0.86424625098658248,0.1526282457251425,0.53436807095343686,0.23743842364532025
4923,0.86626326405331933,0.15220207253886012,0.52106430155210648,0.23558897243107774
4973,0.86924493554327809,0.15471447543160691,0.51662971175166295,0.23811957077158918
5023,0.86775409979829865,0.15434924787442772,0.52328159645232819,0.23838383838383836
5073,0.87170042971147943,0.15764546684709066,0.51662971175166295,0.24157594608605495
5123,0.87222660703323684,0.15782312925170067,0.51441241685144123,0.24154086413326389
5173,0.86801718845917741,0.15510471204188481,0.5254988913525499,0.23951490651844365
5223,0.87362974655792336,0.15672676837725383,0.50110864745011086,0.23877443211833069
5273,0.87152503727089359,0.15743243243243243,0.51662971175166295,0.24132573795960643
5323,0.87222660703323684,0.15642076502732241,0.5077605321507761,0.23916449086161881
